,precision,recall,f1-score,support
Ain,0.7704918032786885,0.9591836734693877,0.8545454545454545,49.0
Al,0.9259259259259259,0.9090909090909091,0.9174311926605504,55.0
Alef,0.9636363636363636,0.9298245614035088,0.9464285714285715,57.0
Beh,0.896551724137931,0.8387096774193549,0.8666666666666666,62.0
Dad,0.8524590163934426,0.9811320754716981,0.912280701754386,53.0
Dal,0.6935483870967742,0.9148936170212766,0.7889908256880733,47.0
Feh,0.7321428571428571,0.803921568627451,0.766355140186916,51.0
Ghain,0.8723404255319149,0.8913043478260869,0.8817204301075269,46.0
Hah,0.76,0.7755102040816326,0.7676767676767676,49.0
Heh,0.8461538461538461,0.8627450980392157,0.854368932038835,51.0
Jeem,0.8947368421052632,0.8095238095238095,0.8500000000000001,42.0
Kaf,0.8571428571428571,0.9056603773584906,0.8807339449541285,53.0
Khah,0.9523809523809523,0.8,0.8695652173913043,50.0
Laa,0.94,0.8703703703703703,0.9038461538461539,54.0
Lam,0.9,0.8653846153846154,0.8823529411764707,52.0
Meem,0.7843137254901961,0.7843137254901961,0.7843137254901961,51.0
Noon,0.76,0.7916666666666666,0.7755102040816326,48.0
Qaf,0.8571428571428571,0.6818181818181818,0.759493670886076,44.0
Reh,0.875,0.7777777777777778,0.823529411764706,45.0
Sad,0.8153846153846154,0.9814814814814815,0.8907563025210083,54.0
Seen,0.9615384615384616,0.9433962264150944,0.9523809523809524,53.0
Sheen,0.9629629629629629,0.9285714285714286,0.9454545454545454,56.0
Tah,0.8888888888888888,0.8888888888888888,0.8888888888888888,45.0
Teh,0.9285714285714286,0.8387096774193549,0.8813559322033899,62.0
Teh_Marbuta,0.8490566037735849,0.8823529411764706,0.8653846153846154,51.0
Thal,0.8157894736842105,0.775,0.7948717948717949,40.0
Theh,0.9,0.8852459016393442,0.8925619834710743,61.0
Waw,0.9591836734693877,0.94,0.9494949494949495,50.0
Yeh,0.9074074074074074,0.9074074074074074,0.9074074074074074,54.0
Zah,0.926829268292683,0.8260869565217391,0.8735632183908046,46.0
Zain,0.8611111111111112,0.775,0.8157894736842106,40.0
accuracy,0.8656906429026098,0.8656906429026098,0.8656906429026098,0.8656906429026098
macro avg,0.8680868218917615,0.8620958763342528,0.8627006456934858,1571.0
weighted avg,0.870749937577717,0.8656906429026098,0.8659183168031752,1571.0
